"filename", "language", "JavaScript", "Properties", "CSS", "XML", "Markdown", "TypeScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\table\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\visualblocks\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\visualchars\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\wordcount\plugin.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\dark\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\dark\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\default\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\default\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\document\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\document\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\tinymce-5-dark\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\tinymce-5-dark\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\tinymce-5\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\tinymce-5\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\writer\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\content\writer\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide-dark\content.inline.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide-dark\content.inline.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide-dark\content.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\skins\ui\oxide-dark\content.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
